,headline,sentiment,label
0,"সিদ্ধিরগঞ্জে বিএনপির বিক্ষোভ, ভাঙচুর",1,1
1,খালেদার প‌ক্ষে আপিল শুনানি রবিবার পর্যন্ত মুলতবি,0,1
2,"দুর্নীতির প্রমাণ মেলেনি, নওয়াজ শরীফ ও মরিয়ম মুক্ত: পাক হাইকোর্ট",0,0
3,২০১৮ সালে ফোন বিস্ফোরণের শীর্ষে ছিলো শাওমি!,1,0
4,টিটুর পাছায় ফোঁড়া হয়েছে ! সবার দোয়াপ্রার্থী,0,0
5,কুষ্টিয়ায় পৃথক সড়ক দুর্ঘটনায় নিহত ২,0,1
6,মুক্তিযোদ্ধার অবর্তমানে ভাতা পাবেন স্ত্রী বা স্বামী,1,0
7,কোটা বহালের দাবিতে এখনো শাহবাগে আন্দোলনকারীরা,0,1
8,নির্বাচনী ইশতেহারে নদী রক্ষায় নীতিমালার দাবি,0,0
9,আগুনমুখা নদীতে ভাসমান লাশ,1,0
10,ডিজিটাল নিরাপত্তা আইনে আরও যেসব ধারা যুক্ত করা যায়,0,0
11,কক্সবাজারের জন্য বিশ্বব্যাংকের ৪৩০০ কোটি টাকা,1,1
12,লাগাও অ্যাপস ব্যবহার করে উপকার পেয়েছেন ফরিদপুরের মিজান,0,0
13,আবার দক্ষিণ আফ্রিকায় আইপিএল?,1,1
14,"ময়মনসিংহ-ঢাকা রুটে বগি লাইনচ্যুত, বিভিন্ন স্টেশনে ট্রেন আটকা",0,0
15,ডেথ ওভারের দুর্বলতাই হারের কারণ: মাশরাফী,1,1
16,শাহজালালে ৪ কোটি টাকার মোবাইল ও ঘড়ি উদ্ধার,0,1
17,বাম জোটের ইসি ঘেরাও কর্মসূচিতে সংঘর্ষ,1,0
18,"খালেদার জামিন কেন বাতিল নয়, জানতে চান আদালত",0,1
19,৩০০০ কোটি টাকার বাজার মূলধন হারালো ডিএসই,0,0
20,বিএসএফ জওয়ানের মাথা কেটে নিয়ে গেছে পাকবাহিনী,0,0
21,ব্রাইটনেস ১০০% করেও ঠিকমত GOT-র দৃশ্য দেখতে না পেয়ে মোবাইলের শোরুম ভাংচুর করলেন এক যুবক - Bengal Beats,0,0
22,"জিহাদ নহে, উহা গোলাম আযমের কান্নার শব্দ: জুনাইদ সংঘ | দৈনিক মতিকণ্ঠ",1,0
23,"যমুনায় বাড়ছে পানি, ভোগান্তিতে চরাঞ্চলের মানুষ",1,0
24,৪০০ কোটির ঘরে ডিএসইর লেনদেন,0,1
25,পদবীতে খালিসিকে পেছনে ফেলে দিলেন মাহফুজুর রহমান,0,0
26,অংশগ্রহণমূলক ভোট করতে সরকার কাজ করছে: প্রধানমন্ত্রী,1,1
27,"গন্ডগোল পাকাবেন না, ফর্মুলা থাকলে দিন: প্রধানমন্ত্রী | দৈনিক মতিকণ্ঠ",0,0
28,২১ আগস্ট গ্রেনেড হামলার আদ্যোপান্ত,1,1
29,গলায় ফাঁস দিয়ে স্কুল ছাত্রের আত্মহত্যা,1,1
30,কাভানাহ’র ভাগ্য নির্ধারণে শুক্রবার ভোট দেবে জুডিশিয়ারি কমিটি,1,1
31,নির্বাচন কমিশনার হিসেবে নিয়োগ পেতে পারেন আম্পায়ার তানভীর,0,0
